,primary_title,genres,averagerating,primary_name,death_year,primary_profession,writer_rating,nummovies
1851,Fruitvale Station,"Biography,Drama,Romance",7.5,Ryan Coogler,,"director,writer,producer",7.466666666666666,4.0
1866,Joy,Drama,6.6,David O. Russell,,"producer,director,writer",7.324999999999999,3.0
1871,Get Hard,"Comedy,Crime",6.0,Adam McKay,,"producer,writer,director",7.0,7.0
1896,Sicario,"Action,Crime,Drama",7.6,Taylor Sheridan,,"actor,writer,director",7.7,4.0
1942,X-Men: First Class,"Action,Adventure,Sci-Fi",7.7,Matthew Vaughn,,"producer,writer,director",7.449999999999999,6.0
1990,The Master,Drama,7.1,Paul Thomas Anderson,,"director,writer,producer",7.1000000000000005,3.0
2023,Children Who Chase Lost Voices,"Adventure,Animation,Drama",7.2,Makoto Shinkai,,"writer,art_department,director",7.733333333333334,3.0
2024,Mud,Drama,7.4,Jeff Nichols,,"writer,director,producer",7.1,4.0
2058,The Glass Castle,"Biography,Drama",7.2,Destin Daniel Cretton,,"director,producer,writer",7.6,3.0
2070,Holiday,"Action,Thriller",7.4,A.R. Murugadoss,,"writer,director,actor",7.6,6.0
2072,Birdman or (The Unexpected Virtue of Ignorance),"Comedy,Drama",7.7,Alejandro G. Iñárritu,,"producer,director,writer",7.733333333333333,3.0
2082,"She Smiles, She's Snared!","Comedy,Romance",6.8,Anurag Kashyap,,"producer,writer,director",7.866666666666667,7.0
2160,Insidious: Chapter 2,"Horror,Mystery,Thriller",6.6,James Wan,,"producer,writer,director",7.116666666666667,4.0
2215,Baby,"Action,Thriller",8.0,Neeraj Pandey,,"writer,editorial_department,producer",7.8999999999999995,3.0
2237,Contratiempo,"Crime,Mystery,Thriller",8.1,Oriol Paulo,,"writer,director,editorial_department",7.733333333333333,4.0
2270,It's Only the End of the World,Drama,6.9,Xavier Dolan,,"actor,writer,director",7.380000000000001,5.0
2280,Raman Raghav 2.0,"Crime,Drama,Thriller",7.3,Anurag Kashyap,,"producer,writer,director",7.866666666666667,7.0
2289,Padmaavat,"Drama,History,Romance",7.0,Sanjay Leela Bhansali,,"producer,director,writer",7.025,4.0
2300,Keanu,"Action,Comedy,Crime",6.3,Jordan Peele,,"actor,writer,producer",7.4,3.0
2327,Interstellar,"Adventure,Drama,Sci-Fi",8.6,Christopher Nolan,,"writer,producer,director",8.425,5.0
2329,Green Zone,"Action,Drama,Thriller",6.8,Brian Helgeland,,"writer,director,producer",7.25,4.0
2338,Jackass 3D,"Action,Comedy,Documentary",7.0,Spike Jonze,,"producer,director,writer",8.0,3.0
2393,Monsters University,"Adventure,Animation,Comedy",7.3,Adrian Molina,,"writer,miscellaneous,animation_department",8.4,3.0
2411,Take Shelter,"Drama,Horror,Thriller",7.4,Jeff Nichols,,"writer,director,producer",7.1,4.0
2412,The Guilt Trip,"Comedy,Drama",5.8,Dan Fogelman,,"writer,producer,miscellaneous",7.0,6.0
2423,Her,"Drama,Romance,Sci-Fi",8.0,Spike Jonze,,"producer,director,writer",8.0,3.0
2452,Gangs of Wasseypur,"Action,Comedy,Crime",8.2,Anurag Kashyap,,"producer,writer,director",7.866666666666667,7.0
2461,The Good Dinosaur,"Adventure,Animation,Comedy",6.7,Adrian Molina,,"writer,miscellaneous,animation_department",8.4,3.0
2500,Before Midnight,"Drama,Romance",7.9,Richard Linklater,,"producer,director,writer",7.3,5.0
2508,Gully Boy,"Drama,Music",8.3,Zoya Akhtar,,"writer,producer,director",7.733333333333334,4.0
2509,Gully Boy,"Drama,Music",8.3,Reema Kagti,,"writer,producer,assistant_director",7.3,4.0
2528,La La Land,"Comedy,Drama,Music",8.0,Damien Chazelle,,"producer,writer,director",7.966666666666666,5.0
2534,Dil Dhadakne Do,"Comedy,Drama,Romance",6.8,Zoya Akhtar,,"writer,producer,director",7.733333333333334,4.0
2535,Dil Dhadakne Do,"Comedy,Drama,Romance",6.8,Farhan Akhtar,,"producer,actor,writer",7.1,4.0
2536,Dil Dhadakne Do,"Comedy,Drama,Romance",6.8,Reema Kagti,,"writer,producer,assistant_director",7.3,4.0
2547,Everybody Knows,"Crime,Drama,Mystery",7.0,Asghar Farhadi,,"writer,director,producer",7.7250000000000005,4.0
2664,A Wrinkle in Time,"Adventure,Family,Fantasy",4.2,Jennifer Lee,,"writer,miscellaneous,producer",7.5,4.0
2684,Wreck-It Ralph,"Adventure,Animation,Comedy",7.7,Rich Moore,,"miscellaneous,director,art_department",7.599999999999999,3.0
2686,Wreck-It Ralph,"Adventure,Animation,Comedy",7.7,Jennifer Lee,,"writer,miscellaneous,producer",7.5,4.0
2687,Wreck-It Ralph,"Adventure,Animation,Comedy",7.7,Phil Johnston,,"writer,producer,actor",7.1,5.0
2708,Early Man,"Adventure,Animation,Comedy",6.1,Mark Burton,,"writer,miscellaneous,producer",7.4,5.0
2714,Lady Bird,"Comedy,Drama",7.4,Greta Gerwig,,"actress,writer,producer",7.4,3.0
