,movie,genres,averagerating,primary_name,death_year,primary_profession,director_rating,nummovies
942,Birdman or (The Unexpected Virtue of Ignorance),"Comedy,Drama",7.7,Alejandro G. Iñárritu,,"producer,director,writer",7.733333333333333,3.0
967,Captain America: The Winter Soldier,"Action,Adventure,Sci-Fi",7.8,Anthony Russo,,"producer,director,writer",8.225000000000001,4.0
968,Captain America: The Winter Soldier,"Action,Adventure,Sci-Fi",7.8,Joe Russo,,"producer,director,writer",8.225000000000001,4.0
984,Insidious: Chapter 2,"Horror,Mystery,Thriller",6.6,James Wan,,"producer,writer,director",7.116666666666667,6.0
997,T2 Trainspotting,Drama,7.2,Danny Boyle,,"director,producer,writer",7.225,4.0
1010,Baby,"Action,Thriller",8.0,Neeraj Pandey,,"writer,editorial_department,producer",7.8999999999999995,3.0
1020,Contratiempo,"Crime,Mystery,Thriller",8.1,Oriol Paulo,,"writer,director,editorial_department",7.733333333333333,3.0
1035,It's Only the End of the World,Drama,6.9,Xavier Dolan,,"actor,writer,director",7.380000000000001,5.0
1040,Lo and Behold: Reveries of the Connected World,Documentary,7.1,Werner Herzog,,"director,writer,actor",7.266666666666666,3.0
1041,Raman Raghav 2.0,"Crime,Drama,Thriller",7.3,Anurag Kashyap,,"producer,writer,director",7.866666666666667,3.0
1046,Padmaavat,"Drama,History,Romance",7.0,Sanjay Leela Bhansali,,"producer,director,writer",7.025,4.0
1050,Piku,"Comedy,Drama",7.6,Shoojit Sircar,,"director,producer,actor",7.6499999999999995,4.0
1063,Interstellar,"Adventure,Drama,Sci-Fi",8.6,Christopher Nolan,,"writer,producer,director",8.425,4.0
1089,Take Shelter,"Drama,Horror,Thriller",7.4,Jeff Nichols,,"writer,director,producer",7.1,4.0
1111,Gangs of Wasseypur,"Action,Comedy,Crime",8.2,Anurag Kashyap,,"producer,writer,director",7.866666666666667,3.0
1124,Before Midnight,"Drama,Romance",7.9,Richard Linklater,,"producer,director,writer",7.3,5.0
1128,Gully Boy,"Drama,Music",8.3,Zoya Akhtar,,"writer,producer,director",7.733333333333334,3.0
1139,La La Land,"Comedy,Drama,Music",8.0,Damien Chazelle,,"producer,writer,director",7.966666666666666,3.0
1143,Dil Dhadakne Do,"Comedy,Drama,Romance",6.8,Zoya Akhtar,,"writer,producer,director",7.733333333333334,3.0
1150,Everybody Knows,"Crime,Drama,Mystery",7.0,Asghar Farhadi,,"writer,director,producer",7.7250000000000005,4.0
1207,Goodbye Christopher Robin,"Biography,Drama",7.1,Simon Curtis,,"producer,director,actor",7.133333333333333,3.0
1215,Wreck-It Ralph,"Adventure,Animation,Comedy",7.7,Rich Moore,,"miscellaneous,director,art_department",7.599999999999999,3.0
1217,The Amazing Spider-Man 2,"Action,Adventure,Sci-Fi",6.6,Marc Webb,,"producer,director,writer",7.066666666666666,3.0
1238,Spotlight,"Crime,Drama",8.1,Tom McCarthy,,"actor,producer,writer",7.033333333333334,3.0
1239,Elena,"Crime,Drama,Thriller",7.3,Andrey Zvyagintsev,,"director,actor,writer",7.533333333333334,3.0
1252,Live by Night,"Action,Crime,Drama",6.4,Ben Affleck,,"producer,actor,writer",7.233333333333333,3.0
1257,V/H/S/2,"Horror,Thriller",6.1,Gareth Evans,,"director,writer,editor",7.0,4.0
1288,Silver Linings Playbook,"Comedy,Drama,Romance",7.7,David O. Russell,,"producer,director,writer",7.324999999999999,4.0
1292,Tomorrowland,"Action,Adventure,Family",6.4,Brad Bird,,"miscellaneous,writer,director",7.166666666666667,3.0
1296,Rust and Bone,"Drama,Romance",7.5,Jacques Audiard,,"writer,director,editorial_department",7.233333333333333,3.0
1302,Thuppakki,"Action,Thriller",7.9,A.R. Murugadoss,,"writer,director,actor",7.6,4.0
1304,Big Hero 6,"Action,Adventure,Animation",7.8,Don Hall,,"writer,animation_department,director",7.533333333333334,3.0
1316,Get on Up,"Biography,Drama,Music",6.9,Tate Taylor,,"actor,producer,director",7.166666666666667,3.0
1319,Zootopia,"Adventure,Animation,Comedy",8.0,Rich Moore,,"miscellaneous,director,art_department",7.599999999999999,3.0
1323,X-Men: Apocalypse,"Action,Adventure,Sci-Fi",7.0,Bryan Singer,,"producer,director,writer",7.325,4.0
1327,The Walk,"Adventure,Biography,Drama",7.3,Robert Zemeckis,,"producer,writer,director",7.233333333333333,3.0
1328,American Made,"Action,Biography,Comedy",7.2,Doug Liman,,"producer,director,miscellaneous",7.025,4.0
1337,Hunt for the Wilderpeople,"Adventure,Comedy,Drama",7.9,Taika Waititi,,"actor,producer,director",7.75,4.0
1347,Silence,"Adventure,Drama,History",7.2,Martin Scorsese,,"producer,director,actor",7.75,4.0
1381,Fast & Furious 6,"Action,Crime,Thriller",7.1,Justin Lin,,"producer,director,writer",7.166666666666667,3.0
1389,22 Jump Street,"Action,Comedy,Crime",7.0,Phil Lord,,"producer,writer,director",7.333333333333333,3.0
1390,22 Jump Street,"Action,Comedy,Crime",7.0,Christopher Miller,,"producer,writer,director",7.333333333333333,3.0
